City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mar Del Plata,AR,-38.0023,-57.5575,41.95,77,0,3.44,clear sky
1,Oussouye,SN,12.485,-16.5469,80.78,72,46,4.92,scattered clouds
2,Busselton,AU,-33.65,115.3333,56.5,70,100,6.46,overcast clouds
3,Puksoozero,RU,62.5903,40.6066,58.41,91,97,3.94,overcast clouds
4,Keuruu,FI,62.2667,24.7,48.79,98,100,8.3,overcast clouds
5,Nelson Bay,AU,-32.7167,152.15,52.11,83,89,1.01,overcast clouds
6,La Ronge,CA,55.1001,-105.2842,62.85,12,0,16.11,clear sky
7,Richards Bay,ZA,-28.783,32.0377,58.68,77,0,5.17,clear sky
8,Kungurtug,RU,50.5994,97.5228,41.92,72,86,7.05,overcast clouds
9,Puerto Escondido,MX,15.85,-97.0667,82.36,73,80,3.8,broken clouds
10,Georgetown,MY,5.4112,100.3354,82.33,88,20,3.44,few clouds
11,Simao,CN,22.7886,100.9748,65.93,98,94,2.77,overcast clouds
12,Mackenzie,CA,55.2999,-123.1698,75.42,17,75,10.36,broken clouds
13,Mahebourg,MU,-20.4081,57.7,73.69,68,40,10.36,scattered clouds
14,Yuci,CN,37.6803,112.7319,78.55,36,0,2.24,clear sky
15,Pafos,CY,34.7667,32.4167,65.98,82,0,5.75,moderate rain
16,Hilo,US,19.7297,-155.09,88.29,85,100,16.11,moderate rain
17,Ilulissat,GL,69.2167,-51.1,35.62,75,50,4.61,scattered clouds
18,Ushuaia,AR,-54.8,-68.3,33.46,64,0,4.61,clear sky
19,Mataura,NZ,-46.1927,168.8643,50.49,89,100,6.26,overcast clouds
20,Faanui,PF,-16.4833,-151.75,78.94,77,99,10.63,light rain
21,Burns Lake,CA,54.2331,-125.7533,58.42,32,100,8.19,overcast clouds
22,Severo-Kurilsk,RU,50.6789,156.125,45.0,86,98,6.22,overcast clouds
23,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,87,75,8.05,broken clouds
24,Victoria,HK,22.2855,114.1577,85.32,85,53,8.01,broken clouds
25,Qaqortoq,GL,60.7167,-46.0333,41.77,64,1,2.3,clear sky
26,Jamestown,US,42.097,-79.2353,60.39,73,100,4.61,overcast clouds
27,Tiksi,RU,71.6872,128.8694,34.54,92,100,4.29,overcast clouds
28,Makat,KZ,47.6469,53.3463,68.36,32,15,8.14,few clouds
29,Port Alfred,ZA,-33.5906,26.891,55.83,83,1,7.09,clear sky
30,Barrow,US,71.2906,-156.7887,26.62,86,100,6.91,overcast clouds
31,Isangel,VU,-19.55,169.2667,80.71,83,100,9.22,overcast clouds
32,Rikitea,PF,-23.1203,-134.9692,77.22,77,91,14.83,overcast clouds
33,Jibuti,DJ,11.5,42.5,82.96,51,82,3.51,broken clouds
34,Bredasdorp,ZA,-34.5322,20.0403,49.14,87,3,3.42,clear sky
35,Leningradskiy,RU,69.3833,178.4167,47.19,67,85,14.34,overcast clouds
36,Codrington,AU,-38.2667,141.9667,50.58,65,100,16.4,overcast clouds
37,Cabo San Lucas,MX,22.8909,-109.9124,85.3,47,0,13.8,clear sky
38,Quang Ngai,VN,15.1167,108.8,80.98,77,98,3.89,overcast clouds
39,Carroll,US,39.5501,-77.0164,75.52,78,0,3.44,clear sky
40,Touros,BR,-5.1989,-35.4608,76.86,85,90,6.67,overcast clouds
41,Port Blair,IN,11.6667,92.75,81.16,83,100,9.26,overcast clouds
42,Valparaiso,CL,-33.0393,-71.6273,52.48,67,75,4.61,light rain
43,Wilmington,US,34.2257,-77.9447,82.31,69,0,12.66,clear sky
44,Skibbereen,IE,51.55,-9.2667,53.11,91,75,5.68,broken clouds
45,Awjilah,LY,29.1081,21.2869,78.84,41,0,9.31,clear sky
46,Deputatskiy,RU,69.3,139.9,46.17,65,100,4.7,overcast clouds
47,Axim,GH,4.8699,-2.2405,78.71,87,55,6.51,broken clouds
48,Asau,RO,46.4333,26.4,63.52,96,52,3.11,broken clouds
49,Castro,BR,-24.7911,-50.0119,57.24,98,100,0.63,light rain
50,Aklavik,CA,68.2191,-135.0107,42.84,84,100,5.06,overcast clouds
51,Saint-Augustin,CA,51.226,-58.6502,43.27,78,98,20.38,overcast clouds
52,Coronon,PH,6.8792,125.4489,84.13,72,88,1.14,overcast clouds
53,Kilis,TR,36.7161,37.115,75.43,72,33,6.13,scattered clouds
54,Ecoporanga,BR,-18.3733,-40.8306,70.27,71,26,2.57,scattered clouds
55,Lebu,CL,-37.6167,-73.65,50.27,82,100,15.82,light rain
56,Tual,ID,-5.6667,132.75,83.95,71,5,10.58,clear sky
57,Pierre,US,44.3683,-100.351,76.12,25,0,18.41,clear sky
58,Aromashevo,RU,56.8602,68.6375,38.73,74,68,10.11,broken clouds
59,Kloulklubed,PW,7.0419,134.2556,79.3,71,58,9.51,broken clouds
60,Kirakira,SB,-10.4544,161.9205,83.79,74,29,9.1,scattered clouds
61,Flinders,AU,-34.5833,150.8552,53.19,84,100,3.0,light rain
62,Svetlyy,RU,54.675,20.1347,50.05,91,12,10.69,few clouds
63,Palmer,US,42.1584,-72.3287,69.17,78,100,5.75,overcast clouds
64,Punta Arenas,CL,-53.15,-70.9167,33.91,86,40,12.66,scattered clouds
65,Kaitangata,NZ,-46.2817,169.8464,47.7,81,99,12.33,overcast clouds
66,Mountrath,IE,52.9989,-7.4728,49.87,94,58,3.02,broken clouds
67,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,32,7.4,scattered clouds
68,Nantucket,US,41.2835,-70.0995,60.94,87,100,5.75,overcast clouds
69,Lola,GN,7.8,-8.5333,70.25,98,45,2.84,light rain
70,Khromtau,KZ,50.2503,58.4347,57.7,66,15,8.21,few clouds
71,Sisimiut,GL,66.9395,-53.6735,44.53,43,36,5.1,scattered clouds
72,Naze,JP,28.3667,129.4833,74.32,90,100,10.56,overcast clouds
73,Usinsk,RU,65.9939,57.5281,34.43,49,6,15.52,clear sky
74,Belaya Gora,RU,68.5333,146.4167,52.75,39,99,9.62,overcast clouds
75,Lorengau,PG,-2.0226,147.2712,84.15,69,56,9.75,broken clouds
76,New Norfolk,AU,-42.7826,147.0587,47.7,80,100,1.01,overcast clouds
77,Chuy,UY,-33.6971,-53.4616,42.39,77,59,7.23,broken clouds
78,Kruisfontein,ZA,-34.0033,24.7314,49.68,90,8,6.22,clear sky
79,Lazaro Cardenas,MX,17.9583,-102.2,81.48,70,3,12.35,clear sky
80,Ilo,PE,-17.6394,-71.3375,63.46,82,75,9.22,broken clouds
81,Marsh Harbour,BS,26.5412,-77.0636,80.67,73,29,9.89,scattered clouds
82,Hasaki,JP,35.7333,140.8333,75.6,74,72,11.39,broken clouds
83,Cape Town,ZA,-33.9258,18.4232,60.39,76,0,2.3,clear sky
84,Anagni,IT,41.7447,13.1527,72.91,73,3,3.8,clear sky
85,Bouca,CF,6.5105,18.2733,70.81,79,90,3.96,overcast clouds
86,Upernavik,GL,72.7868,-56.1549,32.16,71,100,4.14,overcast clouds
87,Atuona,PF,-9.8,-139.0333,78.51,70,2,17.9,clear sky
88,Oulu,FI,65.0124,25.4682,51.91,91,0,13.8,clear sky
89,Hamilton,US,39.1834,-84.5333,72.86,68,0,4.61,clear sky
90,Muros,ES,42.7762,-9.0603,60.84,92,21,6.06,few clouds
91,Nikolskoye,RU,59.7035,30.7861,54.91,89,99,4.92,overcast clouds
92,Jennings,US,38.7192,-90.2604,75.15,46,40,12.66,scattered clouds
93,Marrakesh,MA,31.6315,-8.0083,68.07,64,75,6.91,broken clouds
94,Vaini,TO,-21.2,-175.2,82.56,78,75,6.91,broken clouds
95,Caravelas,BR,-17.7125,-39.2481,72.23,85,49,4.5,scattered clouds
96,Vardo,NO,70.3705,31.1107,42.78,87,75,13.8,broken clouds
97,Ust-Nera,RU,64.5667,143.2,65.57,49,47,1.5,scattered clouds
98,Padang,ID,-0.9492,100.3543,73.45,78,100,3.04,overcast clouds
99,Cidreira,BR,-30.1811,-50.2056,53.85,73,91,9.31,overcast clouds
100,Kodiak,US,57.79,-152.4072,65.71,37,0,8.05,clear sky
101,Dryden,CA,49.7833,-92.7503,44.89,81,100,12.66,overcast clouds
102,Khatanga,RU,71.9667,102.5,48.49,73,80,15.43,broken clouds
103,Provideniya,RU,64.3833,-173.3,39.31,81,20,11.18,fog
104,Soe,ID,-9.8607,124.284,73.53,74,56,3.65,broken clouds
105,Teya,RU,60.3778,92.6267,36.28,89,50,8.05,scattered clouds
106,Roald,NO,62.5833,6.1333,55.17,100,100,5.75,mist
107,Hobart,AU,-42.8794,147.3294,48.06,81,75,4.61,broken clouds
108,Albany,US,42.6001,-73.9662,70.79,71,100,2.98,overcast clouds
109,Kitimat,CA,54.0524,-128.6534,63.91,58,100,2.93,overcast clouds
110,Conceicao Da Barra,BR,-18.5933,-39.7322,73.26,90,35,6.44,scattered clouds
111,Mackay,AU,-21.15,149.2,74.68,64,70,5.91,broken clouds
112,Vostok,RU,46.4856,135.8833,50.43,76,100,2.06,overcast clouds
113,Harper,LR,4.375,-7.7169,78.19,86,41,6.06,scattered clouds
114,Lamar,US,33.6668,-95.5836,80.51,57,0,6.91,clear sky
115,Klaksvik,FO,62.2266,-6.589,43.72,86,47,7.31,scattered clouds
116,Hibbing,US,47.4272,-92.9377,55.38,32,100,6.91,overcast clouds
117,Kapaa,US,22.0752,-159.319,82.47,74,0,10.36,clear sky
118,Wrexham,GB,53.0,-3.0,57.22,96,100,2.37,overcast clouds
119,Chokurdakh,RU,70.6333,147.9167,41.61,57,32,7.34,scattered clouds
120,Berlevag,NO,70.8578,29.0864,44.4,87,75,24.16,broken clouds
121,Preobrazheniye,RU,42.9019,133.9064,49.44,95,100,9.91,overcast clouds
122,Torbat-E Jam,IR,35.244,60.6225,71.69,19,0,11.97,clear sky
123,Malangwa,NP,26.8568,85.5581,85.71,63,20,6.96,few clouds
124,Dikson,RU,73.5069,80.5464,28.02,85,100,28.63,overcast clouds
125,Linhares,BR,-19.3911,-40.0722,69.37,91,4,4.47,clear sky
126,Verkhnyaya Toyma,RU,62.2349,44.9985,60.24,76,93,4.76,overcast clouds
127,Mount Gambier,AU,-37.8333,140.7667,50.05,72,100,11.14,overcast clouds
128,Narsaq,GL,60.9167,-46.05,52.02,58,1,3.06,clear sky
129,Oranjestad,AW,12.524,-70.027,80.11,85,15,23.47,few clouds
130,Puerto Ayora,EC,-0.7393,-90.3518,71.55,95,96,4.0,overcast clouds
131,Airai,TL,-8.9266,125.4092,66.36,82,43,1.95,scattered clouds
132,Xiongyue,CN,40.1774,122.1228,68.4,75,34,11.74,scattered clouds
133,Luderitz,NA,-26.6481,15.1594,67.84,31,0,10.89,clear sky
134,Esperance,AU,-33.8667,121.9,57.7,70,74,12.77,broken clouds
135,Hermanus,ZA,-34.4187,19.2345,47.8,75,1,5.68,clear sky
136,Kalmunai,LK,7.4167,81.8167,79.29,78,73,2.91,broken clouds
137,Yellowknife,CA,62.456,-114.3525,63.12,34,20,13.8,few clouds
138,Guerrero Negro,MX,27.9769,-114.0611,68.22,65,1,17.2,clear sky
139,Tasiilaq,GL,65.6145,-37.6368,33.96,91,66,3.24,broken clouds
140,Egvekinot,RU,66.3167,-179.1667,37.0,77,70,8.12,broken clouds
141,Garowe,SO,8.4054,48.4845,77.54,58,78,22.26,broken clouds
142,Geraldton,AU,-28.7667,114.6,52.21,93,0,8.05,clear sky
143,Batagay-Alyta,RU,67.8006,130.4114,48.33,84,100,3.15,overcast clouds
144,Dharchula,IN,29.85,80.5333,67.46,27,0,7.11,clear sky
