City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-05-31 15:34:14,-46.6,168.3333,53.33,81,100,6.38
1,Rikitea,PF,2022-05-31 15:34:15,-23.1203,-134.9692,75.25,78,78,8.93
2,Hermanus,ZA,2022-05-31 15:34:15,-34.4187,19.2345,59.81,67,60,14.12
3,Alofi,NU,2022-05-31 15:34:17,-19.0595,-169.9187,73.29,94,9,4.61
4,Bredasdorp,ZA,2022-05-31 15:34:17,-34.5322,20.0403,55.63,62,79,9.22
5,Punta Arenas,CL,2022-05-31 15:30:52,-53.15,-70.9167,42.82,75,0,5.75
6,Rocha,UY,2022-05-31 15:34:18,-34.4833,-54.3333,51.15,50,11,9.89
7,Souillac,MU,2022-05-31 15:34:18,-20.5167,57.5167,75.58,69,75,10.36
8,Bambous Virieux,MU,2022-05-31 15:34:18,-20.3428,57.7575,75.45,69,75,10.36
9,Brigantine,US,2022-05-31 15:34:19,39.4101,-74.3646,93.04,47,0,9.22
10,Ambon,ID,2022-05-31 15:34:19,-3.6954,128.1814,77.14,94,40,2.3
11,Baykit,RU,2022-05-31 15:34:20,61.67,96.37,45.97,86,100,10.33
12,Mataura,NZ,2022-05-31 15:34:20,-46.1927,168.8643,49.33,86,100,3.06
13,Hobart,AU,2022-05-31 15:31:34,-42.8794,147.3294,47.26,89,75,10.36
14,Cape Town,ZA,2022-05-31 15:34:21,-33.9258,18.4232,62.28,69,20,10.36
15,Sitka,US,2022-05-31 15:34:21,57.0531,-135.33,49.89,87,75,5.75
16,Hilo,US,2022-05-31 15:34:21,19.7297,-155.09,72.28,93,100,6.91
17,Itarema,BR,2022-05-31 15:34:22,-2.9248,-39.9167,85.01,66,47,13.27
18,Coahuayana,MX,2022-05-31 15:34:22,18.7333,-103.6833,85.71,49,90,4.63
19,Zeya,RU,2022-05-31 15:34:23,53.75,127.2667,48.31,97,100,4.12
20,Thompson,CA,2022-05-31 15:34:23,55.7435,-97.8558,37.56,81,100,11.5
21,Praia Da Vitoria,PT,2022-05-31 15:34:23,38.7333,-27.0667,64.65,82,75,21.99
22,Abha,SA,2022-05-31 15:32:12,18.2164,42.5053,80.42,25,40,9.22
23,Victoria,HK,2022-05-31 15:34:24,22.2855,114.1577,84.33,84,95,8.01
24,Ushuaia,AR,2022-05-31 15:29:26,-54.8,-68.3,40.66,87,75,17.27
25,Severo-Kurilsk,RU,2022-05-31 15:34:25,50.6789,156.125,40.87,93,100,3.71
26,Butaritari,KI,2022-05-31 15:34:25,3.0707,172.7902,80.15,82,49,12.12
27,Mayo,US,2022-05-31 15:34:25,38.8876,-76.5119,93.36,61,0,4.61
28,San Cristobal,VE,2022-05-31 15:34:26,7.7669,-72.225,77.18,46,100,6.15
29,Odiongan,PH,2022-05-31 15:34:26,12.4017,121.9919,80.92,82,100,9.95
30,Pacific Grove,US,2022-05-31 15:34:27,36.6177,-121.9166,56.43,84,0,5.99
31,Vila Franca Do Campo,PT,2022-05-31 15:34:27,37.7167,-25.4333,66.2,76,72,16.98
32,Vaini,TO,2022-05-31 15:34:28,-21.2,-175.2,75.36,88,40,4.61
33,Fortuna,US,2022-05-31 15:34:28,40.5982,-124.1573,60.93,78,0,4.61
34,Yellowknife,CA,2022-05-31 15:34:29,62.456,-114.3525,50.56,43,75,12.66
35,Hithadhoo,MV,2022-05-31 15:34:29,-0.6,73.0833,83.93,69,72,10.25
36,Iqaluit,CA,2022-05-31 15:29:56,63.7506,-68.5145,33.53,86,75,3.44
37,Waitati,NZ,2022-05-31 15:34:30,-45.75,170.5667,57.79,60,100,11.5
38,East London,ZA,2022-05-31 15:34:30,-33.0153,27.9116,65.34,45,0,9.22
39,Geraldton,AU,2022-05-31 15:31:14,-28.7667,114.6,48.61,76,1,5.75
40,Jamestown,US,2022-05-31 15:34:31,42.097,-79.2353,80.53,61,20,12.66
41,Busselton,AU,2022-05-31 15:34:31,-33.65,115.3333,52.52,77,55,4.85
42,Kulevcha,UA,2022-05-31 15:34:31,46.0303,29.9361,78.76,49,62,1.7
43,Nchelenge,ZM,2022-05-31 15:34:32,-9.3451,28.734,74.44,55,43,2.84
44,Provideniya,RU,2022-05-31 15:34:32,64.3833,-173.3,41.52,75,34,1.05
45,Kabanjahe,ID,2022-05-31 15:35:33,3.1001,98.4908,61.54,96,38,3.83
46,Abu Kamal,SY,2022-05-31 15:35:33,34.4506,40.9171,100.15,9,0,5.57
47,Charters Towers,AU,2022-05-31 15:30:53,-20.1,146.2667,59.4,42,93,8.03
48,Ribeira Grande,PT,2022-05-31 15:35:34,38.5167,-28.7,68.4,52,20,13.8
49,Yakymivka,UA,2022-05-31 15:35:34,46.6897,35.1536,75.15,52,1,6.98
50,Margate,GB,2022-05-31 15:34:04,51.3813,1.3862,61.3,62,80,4.0
51,Mahebourg,MU,2022-05-31 15:31:10,-20.4081,57.7,75.49,69,75,10.36
52,Araouane,ML,2022-05-31 15:35:35,18.9048,-3.5265,109.99,9,84,11.81
53,Avera,US,2022-05-31 15:35:35,33.194,-82.5271,80.11,53,0,5.68
54,New Norfolk,AU,2022-05-31 15:35:35,-42.7826,147.0587,46.92,82,100,2.98
55,Bengkulu,ID,2022-05-31 15:35:36,-3.8004,102.2655,76.42,90,100,4.65
56,Tasiilaq,GL,2022-05-31 15:35:36,65.6145,-37.6368,42.96,93,100,4.92
57,Arraial Do Cabo,BR,2022-05-31 15:35:37,-22.9661,-42.0278,76.96,83,40,10.36
58,Sfantu Gheorghe,RO,2022-05-31 15:35:37,45.8667,25.7833,73.85,51,100,3.94
59,Albany,US,2022-05-31 15:34:24,42.6001,-73.9662,87.58,50,82,12.12
60,Hoa Binh,VN,2022-05-31 15:35:38,20.8133,105.3383,78.48,94,100,1.63
61,Barrow,US,2022-05-31 15:35:38,71.2906,-156.7887,26.62,93,20,16.11
62,Shingu,JP,2022-05-31 15:35:38,33.7333,135.9833,60.91,67,100,6.42
63,Narsaq,GL,2022-05-31 15:35:39,60.9167,-46.05,53.82,58,100,3.58
64,Bilibino,RU,2022-05-31 15:35:39,68.0546,166.4372,44.76,84,73,3.27
65,Teknaf,BD,2022-05-31 15:35:39,20.8624,92.3058,81.14,84,14,3.18
66,Rabaul,PG,2022-05-31 15:35:40,-4.1967,152.1721,79.03,78,55,2.04
67,Cervo,ES,2022-05-31 15:35:40,43.6702,-7.4101,59.72,95,100,6.6
68,Flinders,AU,2022-05-31 15:35:41,-34.5833,150.8552,50.38,59,2,11.01
69,Vostok,RU,2022-05-31 15:35:41,46.4856,135.8833,42.35,98,100,2.19
70,Havelock,US,2022-05-31 15:35:42,34.8791,-76.9013,87.98,66,0,5.75
71,Lebu,CL,2022-05-31 15:35:42,-37.6167,-73.65,47.08,65,8,7.99
72,Bathsheba,BB,2022-05-31 15:35:43,13.2167,-59.5167,86.61,66,20,16.11
73,Kankakee,US,2022-05-31 15:35:08,41.15,-87.8667,86.31,54,40,19.57
74,Kapaa,US,2022-05-31 15:35:43,22.0752,-159.319,73.72,92,75,12.66
75,Sept-Iles,CA,2022-05-31 15:35:13,50.2001,-66.3821,52.32,46,75,14.97
76,Lodja,CD,2022-05-31 15:35:44,-3.4833,23.4333,81.52,59,85,2.84
77,Kewanee,US,2022-05-31 15:35:44,41.2456,-89.9248,76.55,76,100,17.25
78,Puerto Ayora,EC,2022-05-31 15:35:44,-0.7393,-90.3518,78.76,83,100,12.91
79,Avarua,CK,2022-05-31 15:35:45,-21.2078,-159.775,71.65,94,75,3.44
80,Sao Filipe,CV,2022-05-31 15:35:45,14.8961,-24.4956,76.15,78,16,12.88
81,Namibe,AO,2022-05-31 15:35:46,-15.1961,12.1522,75.69,58,0,6.89
82,Colorado,BR,2022-05-31 15:34:42,-22.8375,-51.9731,67.5,85,100,4.54
83,Yarmouth,US,2022-05-31 15:34:58,41.7057,-70.2286,70.02,72,0,17.27
84,Itaporanga,BR,2022-05-31 15:35:46,-7.3044,-38.1503,83.98,64,39,6.38
